"TIME","Pout=(Vout*Iout)"
0.0002679024012,16.2386
0.0002679296025,16.2352
0.0002679390536,16.2341
0.0002679415871,16.2337
0.0002679448429,16.2333
0.0002679496416,16.2327
0.0002680022242,16.2263
0.0002683530956,16.1851
0.0002690453559,16.1127
0.000269622896,16.0612
0.0002705227803,15.9968
0.0002719879611,15.9322
0.000273807088,15.9193
0.0002738233009,15.9195
0.0002738720862,15.9202
0.0002738947913,15.9205
0.000273925933,15.921
0.0002739459086,15.9213
0.0002739541744,15.9214
0.0002739563543,15.9215
0.0002739586415,15.9215
0.0002739653976,15.9216
0.0002739909673,15.922
0.0002740133536,15.9224
0.0002741131351,15.9238
0.0002742070484,15.9248
0.0002744887263,15.9265
0.0002749517337,15.9244
0.0002756195049,15.911
0.0002763697977,15.8815
0.0002777086451,15.7919
0.0002777469791,15.7887
0.000277754902,15.788
0.0002778054152,15.7836
0.0002778131858,15.783
0.0002778832436,15.7768
0.0002778997746,15.7753
0.000277917219,15.7738
0.0002779407941,15.7717
0.00027794125,15.7716
0.0002779421304,15.7715
0.0002779456975,15.7712
0.00027795461,15.7704
0.000278186408,15.7502
0.0002786674661,15.7125
0.0002791601161,15.6795
0.000280102552,15.6322
0.0002810285037,15.6055
0.0002826667186,15.6051
0.0002838098643,15.6395
0.0002838254868,15.6402
0.0002838746895,15.6423
0.0002838992965,15.6434
0.0002839406352,15.6453
0.0002839506116,15.6457
0.0002839572258,15.646
0.0002839595184,15.6461
0.0002839621045,15.6462
0.0002839777182,15.647
0.0002839971489,15.6478
0.0002840632959,15.6507
0.0002841676486,15.6551
0.0002845241405,15.6676
0.0002849870097,15.6786
0.0002857153231,15.6838
0.0002865976148,15.6707
0.0002876988908,15.6253
0.0002877452299,15.6226
0.0002877548764,15.6221
0.0002878049581,15.6192
0.0002878135774,15.6187
0.0002878891164,15.6142
0.0002879004168,15.6135
0.0002879199908,15.6123
0.0002879388709,15.6111
0.0002879412679,15.611
0.0002879430176,15.6109
0.0002879456873,15.6107
0.000287955102,15.6101
0.0002881704703,15.5974
0.000288658166,15.5725
0.0002892089021,15.551
0.0002896629445,15.5385
0.0002903669399,15.5283
0.0002916256592,15.5373
0.000293807088,15.6334
0.0002938233008,15.6345
0.0002938720866,15.6379
0.0002938947953,15.6394
0.0002939259797,15.6416
0.0002939459362,15.643
0.0002939541253,15.6435
0.0002939562925,15.6437
0.0002939585808,15.6439
0.0002939660959,15.6444
0.0002939906655,15.6461
0.0002940228115,15.6483
0.0002941265342,15.6553
0.0002944485708,15.6751
0.0002948554006,15.6958
0.000295405577,15.7164
0.0002959365869,15.7282
0.0002969986069,15.7285
0.0002976948372,15.7119
0.0002977410854,15.7104
0.0002977527779,15.71
0.0002977834233,15.7089
0.0002978121515,15.7079
0.0002978409402,15.7068
0.0002978969969,15.7047
0.0002979097534,15.7042
0.0002979352587,15.7032
0.0002979411794,15.703
0.000297941261,15.703
0.0002979421203,15.7029
0.0002979456294,15.7028
0.0002979530632,15.7025
0.0002981241682,15.6961
0.0002985016268,15.6844
0.0002991068148,15.6723
0.000299683702,15.6683
0.0003007774238,15.681
0.0003029648674,15.7828
0.000303794855,15.8477
0.0003038265893,15.8505
0.0003038713152,15.8544
0.0003039021529,15.8571
0.0003039435697,15.8608
0.0003039527278,15.8617
0.0003039588248,15.8622
0.0003039611245,15.8624
0.0003039639779,15.8627
0.0003039811532,15.8642
0.0003039979053,15.8657
0.0003040744517,15.8725
0.0003041724844,15.8809
0.000304306772,15.892
0.0003046634417,15.9188
0.0003053096669,15.958
0.0003058031879,15.9799
0.0003067849175,16.0026
0.0003076990361,15.9995
0.0003077455075,15.9987
0.0003077555964,15.9985
0.0003078086186,15.9975
0.0003078163353,15.9974
0.0003078932226,15.9958
0.0003079041091,15.9955
0.0003079347067,15.9949
0.0003079412527,15.9947
0.0003079413782,15.9947
0.0003079430929,15.9947
0.0003079458155,15.9946
0.000307957238,15.9943
0.0003081471587,15.9905
0.0003086276874,15.9843
0.0003093589537,15.9848
0.0003100608004,15.9962
0.000311464494,16.0506
0.0003138083661,16.2327
0.0003138243764,16.2343
0.0003138764525,16.2397
0.0003138958748,16.2417
0.0003139355932,16.2458
0.000313947444,16.247
0.0003139544844,16.2478
0.0003139566778,16.248
0.0003139590157,16.2483
0.0003139716926,16.2496
0.0003139899738,16.2515
0.000314038516,16.2565
0.0003141413831,16.2669
0.0003144405052,16.2954
0.0003148345364,16.3288
0.000315361077,16.3661
0.0003158702974,16.3944
0.0003168887382,16.4281
0.0003176963738,16.4333
0.0003177466286,16.433
0.0003177574616,16.433
0.0003178114406,16.4326
0.0003178268586,16.4324
0.0003178899065,16.4318
0.0003178998413,16.4317
0.0003179175899,16.4315
0.0003179357462,16.4313
0.0003179414278,16.4312
0.0003179446129,16.4312
0.0003179482542,16.4311
0.0003179789761,16.4308
0.0003184011855,16.428
